cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
04,Campeche,0,Estatal,1001000001,Superficie continental,2020,57484.91225434,Kilómetros cuadrados
04,Campeche,0,Estatal,1002000001,Población total,1910,86661,Personas
04,Campeche,0,Estatal,1002000001,Población total,1921,76419,Personas
04,Campeche,0,Estatal,1002000001,Población total,1930,84630,Personas
04,Campeche,0,Estatal,1002000001,Población total,1940,90460,Personas
04,Campeche,0,Estatal,1002000001,Población total,1950,122098,Personas
04,Campeche,0,Estatal,1002000001,Población total,1960,168219,Personas
04,Campeche,0,Estatal,1002000001,Población total,1970,251556,Personas
04,Campeche,0,Estatal,1002000001,Población total,1980,420553,Personas
04,Campeche,0,Estatal,1002000001,Población total,1990,535185,Personas
04,Campeche,0,Estatal,1002000001,Población total,1995,642516,Personas
04,Campeche,0,Estatal,1002000001,Población total,2000,690689,Personas
04,Campeche,0,Estatal,1002000001,Población total,2005,754730,Personas
04,Campeche,0,Estatal,1002000001,Población total,2010,822441,Personas
04,Campeche,0,Estatal,1002000001,Población total,2015,902250,Personas
04,Campeche,0,Estatal,1002000001,Población total,2020,928363,Personas
04,Campeche,0,Estatal,1002000002,Población total hombres,1995,322991,Personas
04,Campeche,0,Estatal,1002000002,Población total hombres,2000,344334,Personas
04,Campeche,0,Estatal,1002000002,Población total hombres,2005,373457,Personas
04,Campeche,0,Estatal,1002000002,Población total hombres,2010,407721,Personas
04,Campeche,0,Estatal,1002000002,Población total hombres,2020,456939,Personas
04,Campeche,0,Estatal,1002000003,Población total mujeres,1995,319525,Personas
04,Campeche,0,Estatal,1002000003,Población total mujeres,2000,346355,Personas
04,Campeche,0,Estatal,1002000003,Población total mujeres,2005,381273,Personas
04,Campeche,0,Estatal,1002000003,Población total mujeres,2010,414720,Personas
04,Campeche,0,Estatal,1002000003,Población total mujeres,2020,471424,Personas
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,29.4,No especificada
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,28.9,No especificada
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,28.1,No especificada
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,27.9,No especificada
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,26.7838312048368,No especificada
04,Campeche,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,24.2940732780777,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,28.8,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,28.2,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,27.5,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27.6,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,13.1016711281198,No especificada
04,Campeche,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,24.3609673936705,No especificada
04,Campeche,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,30,No especificada
04,Campeche,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,29.5,No especificada
04,Campeche,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,28.8,No especificada
04,Campeche,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,28.2,No especificada
