PROD_EST,COBERTURA,ANIO,ID_ENTIDAD,TEMA,CATEGORIA,DESCRIPCION_CATEGORIA,VALOR,ESTATUS
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Tema,Total de egresos,25317913306,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Capítulo,Servicios personales,1380155350,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Remuneraciones al personal,575382096,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Despacho del ejecutivo estatal,22816832,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría general de gobierno,64065327,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de finanzas y administración,50551170,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de obras públicas y comunicaciones,38486173,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de fomento económico,11392345,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de turismo,10933191,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría del medio ambiente,41750576,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de planeación,8333617,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de desarrollo social,20220725,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Secretaría de fomento agropecuario y forestal,17499619,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Seguridad pública y tránsito,189771615,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Contraloría general del estado,15488737,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Oficialía mayor,39667709,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Dependencias diversas,44404460,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Remuneraciones adicionales y especiales,431511584,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Primas por años de servicios efectivos prestados,12477188,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Primas de vacaciones, dominical y gratificación de fin de año",142367898,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Compensaciones,276666498,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Seguridad social,255635011,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Aportaciones de seguridad social,202429222,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Aportaciones a fondos de vivienda,9998357,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Aportaciones al sistema para el retiro,11426605,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Aportaciones para seguros,31780827,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Otras prestaciones sociales y económicas,111093269,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Cuotas para el fondo de ahorro y fondo de trabajo,14283296,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Indemnizaciones,44247644,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Prestaciones y haberes de retiro,18055927,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Prestaciones contractuales,29385912,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Apoyos a la capacitación de los servidores públicos,57960,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Otras prestaciones sociales y económicas,5062530,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,Pago de estímulos a servidores públicos,6533390,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Estímulos,6533390,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Capítulo,Materiales y suministros,209289752,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Concepto,"Materiales de administración, emisión de documentos y artículos oficiales",68182082,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de oficina",7290798,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Materiales y útiles de impresión y reproducción,1309482,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones",8138644,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Material impreso e información digital,232294,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Material de limpieza,3228272,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Materiales y útiles de enseñanza,312515,Cifras Definitivas
Estadística de Finanzas Públicas Estatales y Municipales. Anual,Estatal,2019,01,Egresos,Partida Genérica,Materiales para el registro e identificación de bienes y personas,47670077,Cifras Definitivas
